"ObjectType","ObjectSignature","DefinedIn","FileOrder","SupersededBy","Superseded","IsLatestDefinition","DefinitionCount","ReviewStatus","ReviewNotes"
"FUNCTION","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)","20260430_create_invoice_with_items_safe_validation.sql","16","20260430_invoice_items_snapshot_allow_catalog_delete.sql","True","False","7","Draft",""
"FUNCTION","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)","20260430_invoice_items_snapshot_allow_catalog_delete.sql","17","20260503_default_new_orders_to_in_progress.sql","True","False","7","Draft",""
"FUNCTION","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)","20260503_default_new_orders_to_in_progress.sql","22","20260503_fix_invoice_items_insert_columns_in_create_invoice_with_items_safe.sql","True","False","7","Draft",""
"FUNCTION","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)","20260503_fix_invoice_items_insert_columns_in_create_invoice_with_items_safe.sql","23","20260503_replace_create_invoice_with_items_safe_full_body.sql","True","False","7","Draft",""
"FUNCTION","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)","20260503_replace_create_invoice_with_items_safe_full_body.sql","24","20260503_reuse_existing_customer_by_phone_in_create_invoice_with_items_safe.sql","True","False","7","Draft",""
"FUNCTION","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)","20260503_reuse_existing_customer_by_phone_in_create_invoice_with_items_safe.sql","25","","False","True","7","Draft",""
"FUNCTION","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb, p_client_idempotency_key text default '', p_created_by_employee_id uuid default null, p_tenant_id uuid default null, p_branch_id uuid default null)","20260515_harden_create_invoice_with_items_safe.sql","37","20260517_inventory_phase4_deduct_stock_on_sale.sql","True","False","5","Draft",""
"FUNCTION","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb, p_client_idempotency_key text default '', p_created_by_employee_id uuid default null, p_tenant_id uuid default null, p_branch_id uuid default null)","20260517_inventory_phase4_deduct_stock_on_sale.sql","51","20260517_inventory_tracking_flag.sql","True","False","5","Draft",""
"FUNCTION","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb, p_client_idempotency_key text default '', p_created_by_employee_id uuid default null, p_tenant_id uuid default null, p_branch_id uuid default null)","20260517_inventory_tracking_flag.sql","53","20260518_catalog_composite_inventory_tracking.sql","True","False","5","Draft",""
"FUNCTION","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb, p_client_idempotency_key text default '', p_created_by_employee_id uuid default null, p_tenant_id uuid default null, p_branch_id uuid default null)","20260518_catalog_composite_inventory_tracking.sql","57","20260518093000_force_inventory_aware_invoice_rpc.sql","True","False","5","Draft",""
"FUNCTION","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb, p_client_idempotency_key text default '', p_created_by_employee_id uuid default null, p_tenant_id uuid default null, p_branch_id uuid default null)","20260518093000_force_inventory_aware_invoice_rpc.sql","60","","False","True","5","Draft",""
"FUNCTION","public.ensure_branch_order_number_prefix(p_branch_id uuid)","20260516_branch_monthly_order_invoice_numbers.sql","40","20260516_fix_branch_order_number_prefix_trigger.sql","True","False","2","Draft",""
"FUNCTION","public.ensure_branch_order_number_prefix(p_branch_id uuid)","20260516_fix_branch_order_number_prefix_trigger.sql","43","","False","True","2","Draft",""
"FUNCTION","public.ensure_inventory_stock_for_catalog_item(p_tenant_id uuid, p_catalog_item_id uuid)","20260517_inventory_tracking_flag.sql","53","20260518_catalog_composite_inventory_tracking.sql","True","False","3","Draft",""
"FUNCTION","public.ensure_inventory_stock_for_catalog_item(p_tenant_id uuid, p_catalog_item_id uuid)","20260518_catalog_composite_inventory_tracking.sql","57","20260518093000_force_inventory_aware_invoice_rpc.sql","True","False","3","Draft",""
"FUNCTION","public.ensure_inventory_stock_for_catalog_item(p_tenant_id uuid, p_catalog_item_id uuid)","20260518093000_force_inventory_aware_invoice_rpc.sql","60","","False","True","3","Draft",""
"FUNCTION","public.get_branch_inventory(p_tenant_id uuid, p_branch_id uuid)","20260517_inventory_phase1_foundation.sql","50","20260517_inventory_tracking_flag.sql","True","False","4","Draft",""
"FUNCTION","public.get_branch_inventory(p_tenant_id uuid, p_branch_id uuid)","20260517_inventory_tracking_flag.sql","53","20260518_catalog_composite_inventory_tracking.sql","True","False","4","Draft",""
"FUNCTION","public.get_branch_inventory(p_tenant_id uuid, p_branch_id uuid)","20260518_catalog_composite_inventory_tracking.sql","57","20260518093000_force_inventory_aware_invoice_rpc.sql","True","False","4","Draft",""
"FUNCTION","public.get_branch_inventory(p_tenant_id uuid, p_branch_id uuid)","20260518093000_force_inventory_aware_invoice_rpc.sql","60","","False","True","4","Draft",""
"FUNCTION","public.next_branch_monthly_order_number(p_tenant_id uuid, p_branch_id uuid, p_created_at timestamptz default now()","20260516_branch_monthly_order_invoice_numbers.sql","40","20260705000000_self_heal_order_number_sequence_drift.sql","True","False","2","Draft",""
"FUNCTION","public.next_branch_monthly_order_number(p_tenant_id uuid, p_branch_id uuid, p_created_at timestamptz default now()","20260705000000_self_heal_order_number_sequence_drift.sql","78","","False","True","2","Draft",""
"FUNCTION","public.resolve_insert_branch_id(requested_branch_id uuid default null)","20260403_multi_branch_phase3_write_path_safety.sql","2","20260404_multi_branch_phase3_branch_guard.sql","True","False","2","Draft",""
"FUNCTION","public.resolve_insert_branch_id(requested_branch_id uuid default null)","20260404_multi_branch_phase3_branch_guard.sql","5","","False","True","2","Draft",""
"FUNCTION","public.restore_inventory_for_cancelled_invoice(p_invoice_id uuid, p_tenant_id uuid)","20260519100000_fix_cancelled_invoice_inventory_restore_rpc.sql","67","20260519103000_resolve_branch_catalog_items_on_cancel_restore.sql","True","False","2","Draft",""
"FUNCTION","public.restore_inventory_for_cancelled_invoice(p_invoice_id uuid, p_tenant_id uuid)","20260519103000_resolve_branch_catalog_items_on_cancel_restore.sql","68","","False","True","2","Draft",""
"FUNCTION","public.restore_inventory_for_cancelled_invoice(p_tenant_id uuid, p_invoice_id uuid)","20260517_inventory_phase5_restore_cancelled_invoice_stock.sql","52","20260517_inventory_tracking_flag.sql","True","False","4","Draft",""
"FUNCTION","public.restore_inventory_for_cancelled_invoice(p_tenant_id uuid, p_invoice_id uuid)","20260517_inventory_tracking_flag.sql","53","20260518_catalog_composite_inventory_tracking.sql","True","False","4","Draft",""
"FUNCTION","public.restore_inventory_for_cancelled_invoice(p_tenant_id uuid, p_invoice_id uuid)","20260518_catalog_composite_inventory_tracking.sql","57","20260518093000_force_inventory_aware_invoice_rpc.sql","True","False","4","Draft",""
"FUNCTION","public.restore_inventory_for_cancelled_invoice(p_tenant_id uuid, p_invoice_id uuid)","20260518093000_force_inventory_aware_invoice_rpc.sql","60","","False","True","4","Draft",""
"FUNCTION","public.set_branch_order_number_prefix()","20260516_branch_monthly_order_invoice_numbers.sql","40","20260516_fix_branch_order_number_prefix_trigger.sql","True","False","2","Draft",""
"FUNCTION","public.set_branch_order_number_prefix()","20260516_fix_branch_order_number_prefix_trigger.sql","43","","False","True","2","Draft",""
"FUNCTION","public.set_pos_pin(user_id uuid, raw_pin text)","20260505_add_pos_pin_to_profiles.sql","29","20260505_fix_set_pos_pin_pgcrypto_search_path.sql","True","False","3","Draft",""
"FUNCTION","public.set_pos_pin(user_id uuid, raw_pin text)","20260505_fix_set_pos_pin_pgcrypto_search_path.sql","30","20260517_create_pos_profiles.sql","True","False","3","Draft",""
"FUNCTION","public.set_pos_pin(user_id uuid, raw_pin text)","20260517_create_pos_profiles.sql","47","","False","True","3","Draft",""
"INDEX","public.idx_branches_tenant_order_number_prefix","20260516_branch_monthly_order_invoice_numbers.sql","40","20260516_fix_branch_order_number_prefix_trigger.sql","True","False","3","Draft",""
"INDEX","public.idx_branches_tenant_order_number_prefix","20260516_fix_branch_order_number_prefix_trigger.sql","43","20260516_recalculate_branch_prefixes_per_tenant.sql","True","False","3","Draft",""
"INDEX","public.idx_branches_tenant_order_number_prefix","20260516_recalculate_branch_prefixes_per_tenant.sql","44","","False","True","3","Draft",""
"INDEX","public.idx_catalog_items_tenant_track_inventory","20260517_inventory_tracking_flag.sql","53","20260518_catalog_composite_inventory_tracking.sql","True","False","3","Draft",""
"INDEX","public.idx_catalog_items_tenant_track_inventory","20260518_catalog_composite_inventory_tracking.sql","57","20260518093000_force_inventory_aware_invoice_rpc.sql","True","False","3","Draft",""
"INDEX","public.idx_catalog_items_tenant_track_inventory","20260518093000_force_inventory_aware_invoice_rpc.sql","60","","False","True","3","Draft",""
"INDEX","public.idx_inventory_movements_sale_void_source_item","20260519100000_fix_cancelled_invoice_inventory_restore_rpc.sql","67","20260519103000_resolve_branch_catalog_items_on_cancel_restore.sql","True","False","2","Draft",""
"INDEX","public.idx_inventory_movements_sale_void_source_item","20260519103000_resolve_branch_catalog_items_on_cancel_restore.sql","68","","False","True","2","Draft",""
"POLICY","public.pos_profiles::pos_profiles_select_same_tenant_system_user","20260517_create_pos_profiles.sql","47","20260713090000_secure_pos_pin_credentials.sql","True","False","2","Draft",""
"POLICY","public.pos_profiles::pos_profiles_select_same_tenant_system_user","20260713090000_secure_pos_pin_credentials.sql","79","","False","True","2","Draft",""
"TABLE","public.tenants","20260505_prepare_multi_tenant_tenants_and_order_tenant_id.sql","31","20260505_safe_backfill_tenant_ids.sql","True","False","2","Draft",""
"TABLE","public.tenants","20260505_safe_backfill_tenant_ids.sql","33","","False","True","2","Draft",""
"TRIGGER","public.branches::trg_set_branch_order_number_prefix","20260516_branch_monthly_order_invoice_numbers.sql","40","20260516_fix_branch_order_number_prefix_trigger.sql","True","False","2","Draft",""
"TRIGGER","public.branches::trg_set_branch_order_number_prefix","20260516_fix_branch_order_number_prefix_trigger.sql","43","","False","True","2","Draft",""
"VIEW","public.inventory_movements_view","20260518120000_inventory_movements_user_names.sql","61","20260519090000_inventory_movements_real_actor_names.sql","True","False","6","Draft",""
"VIEW","public.inventory_movements_view","20260519090000_inventory_movements_real_actor_names.sql","65","20260519093000_inventory_movements_actor_identity_view.sql","True","False","6","Draft",""
"VIEW","public.inventory_movements_view","20260519093000_inventory_movements_actor_identity_view.sql","66","20260519110000_inventory_movements_actor_display_identity.sql","True","False","6","Draft",""
"VIEW","public.inventory_movements_view","20260519110000_inventory_movements_actor_display_identity.sql","69","20260519113000_inventory_movements_recover_sale_actor_from_invoice.sql","True","False","6","Draft",""
"VIEW","public.inventory_movements_view","20260519113000_inventory_movements_recover_sale_actor_from_invoice.sql","70","20260519120000_inventory_movements_pos_actor_for_sales_and_voids.sql","True","False","6","Draft",""
"VIEW","public.inventory_movements_view","20260519120000_inventory_movements_pos_actor_for_sales_and_voids.sql","71","","False","True","6","Draft",""
